feature,mean,std
A Feed,0.25058904,0.02802495923062869
D Feed,3662.7732,32.64946005311573
E Feed,4509.577199999999,38.68110908647786
A and C Feed,9.3448038,0.07880885943572588
Recycle Flow,26.907058,0.2147541260046009
Reactor Feed Rate,42.340676,0.22016037569008642
Reactor Pressure,2704.357,5.964505930921684
Reactor Level,75.017246,0.5268452500345808
Reactor Temperature,120.40004000000002,0.019493547650441267
Purge Rate,0.33703228,0.01166020394339653
Product Sep Temp,80.11851199999998,0.20810975435091952
Product Sep Level,50.061538,1.0405225228489772
Product Sep Pressure,2633.0258,6.221478470588808
Product Sep Underflow,25.154726000000004,0.9952369903314486
Stripper Level,50.04099000000001,1.0337280812186538
Stripper Pressure,3101.7493999999997,5.321772227369376
Stripper Underflow,22.962457999999998,0.5979597045253133
Stripper Temp,65.955468,0.3350931646214232
Stripper Steam Flow,236.14656,7.737980212329312
Compressor Work,341.24096,1.1524243482328884
Reactor Coolant Temp,94.60999799999999,0.12460971870604634
Separator Coolant Temp,77.284014,0.2724446765932489
Component A to Reactor,32.186204,0.2706175352485494
Component B to Reactor,8.890722,0.10025973646484415
Component C to Reactor,26.349379999999996,0.2838742742835285
Component D to Reactor,6.882902,0.10144925764144358
Component E to Reactor,18.775156000000003,0.27894731341957735
Component F to Reactor,1.6589824,0.02426154179437078
Component A in Purge,32.921372000000005,0.2996374502895124
Component B in Purge,13.826204000000002,0.10005871468293004
Component C in Purge,23.957099999999997,0.33230423710810547
Component D in Purge,1.25226208,0.09704506307728177
Component E in Purge,18.611164,0.2831578801728816
Component F in Purge,2.2700888000000004,0.02433527551847317
Component G in Purge,4.8482236,0.057400908381662404
Component H in Purge,2.2992660000000007,0.05034668215483519
Component D in Product,0.0190199694,0.011061838223259806
Component E in Product,0.8362374,0.01580672310252824
Component F in Product,0.09961263,0.008872487471566246
Component G in Product,53.80367,0.48693964831383374
Component H in Product,43.864869999999996,0.50622666178304
D feed load,63.008948,0.54797265378484
E feed load,53.95955,0.4408552001507978
A feed load,24.654356,2.7474372410055157
A and C feed load,61.237696,1.243992792416419
Compressor recycle valve,22.157482,0.3952647690801699
Purge valve,40.106614,1.3982423355784934
Separator liquid load,38.281098,3.0620854613148865
Stripper liquid load,46.628864,2.392351912554673
Stripper steam valve,49.007676,2.078456316361737
Reactor coolant load,41.101936,0.5581097023919224
Condenser coolant load,18.092588,1.4153989184169953
